宝利金新世纪大厦
鸿艺豪苑,70,240,7200,34800,67,12185,13529,18137,2室,39,3室,19,4室,7,1室,1
东方时空公寓,45,95,3900,9500,47,5365,6325,5300,1室,35,2室,12,None,0,None,0
溧阳公馆（虹口世纪大酒店2号楼）
新华嘉利公寓,78,158,7500,22000,4,5136,7652,13362,1室,2,3室,2,None,0,None,0
富_大厦,15,130,900,11000,50,None,None,None,2室,22,1室,22,2户,3,3室,2
河滨国际公寓,58,98,4800,8000,27,6033,6511,5800,2室,13,1室,12,2户,2,None,0
乐非天地,43,43,3600,3600,1,None,None,None,1室,1,None,0,None,0,None,0
黄兴广场
睿园,100,150,10000,15000,4,8000,11881,14725,3室,2,2室,1,1室,1,None,0
虹桥路2388号产权国际公寓,10,9000,430,120000,765,None,None,None,2室,373,1室,268,3室,80,4室,21
爱都公寓,126,360,8500,25000,10,None,6420,10179,3室,9,4室,1,None,0,None,0
上海外高桥徐汇俱乐部有限公司公寓式办公用房及配套商业设施建设项目,10,630,5000,180000,34,None,None,None,3室,18,4室,14,6室,1,1室,1
天赐公寓,45,140,4000,15000,103,6301,9342,None,1室,74,2室,23,3室,6,None,0
恒升半岛国际中心二期
新凤城银座,36,102,3500,9000,9,4788,6815,9083,1室,5,2室,4,None,0,None,0
海珀府邸,448,448,46000,46000,1,None,None,None,4室,1,None,0,None,0,None,0
东方星座,33,3500,3000,5000,8,2843,None,None,1室,8,None,0,None,0,None,0
古北爵仕花园
顺泰天然居商务宾馆,140,305,9000,40000,32,4300,5800,11986,3室,21,4室,9,5室,2,None,0
西郊珑廷
名仕公馆（银亿茗悦公寓）
温莎公寓,165,165,20000,20000,1,None,16171,None,3室,1,None,0,None,0,None,0
碧云居家商务酒店
新华阳光豪庭
由由酒店式公寓
比利华高级公寓
东方二_四六酒店公寓项目
证大家园酒店式公寓,12,242,1200,18000,329,2914,4434,5666,2室,153,3室,108,1室,28,2户,16
凤凰赢家,26,28,2600,3000,2,None,None,None,1室,2,None,0,None,0,None,0
外滩辉盛坊国际公寓,10,9000,430,120000,766,None,None,None,2室,374,1室,268,3室,80,4室,21
三湘未来海岸广场,30,125,3800,8000,49,4819,5429,6408,1室,25,2室,23,1户,1,None,0
